new data done

Ultra simple LIDAR data grabber for RPLIDAR.
Version: 1.10.0
RPLIDAR S/N: BE9B9AF2C1EA98D4BEEB9CF031483517
Firmware Ver: 1.25
Hardware Rev: 5
RPLidar health status : 0
   theta: 73.19 Dist: 01726.00 Q: 47 
   theta: 78.41 Dist: 01691.00 Q: 47 
   theta: 83.62 Dist: 01690.00 Q: 47 
   theta: 88.84 Dist: 01689.00 Q: 47 
   theta: 109.70 Dist: 01701.00 Q: 47 
   theta: 114.92 Dist: 01690.00 Q: 47 
   theta: 120.14 Dist: 01747.00 Q: 47 
   theta: 125.34 Dist: 01703.00 Q: 47 
   theta: 130.69 Dist: 01699.00 Q: 47 
   theta: 135.78 Dist: 01701.00 Q: 47 
   theta: 141.00 Dist: 01726.00 Q: 47 
   theta: 146.09 Dist: 02140.00 Q: 47 
   theta: 151.31 Dist: 02140.00 Q: 47 
   theta: 156.53 Dist: 02141.00 Q: 47 
   theta: 161.73 Dist: 02141.00 Q: 47 
   theta: 166.95 Dist: 02140.00 Q: 47 
   theta: 172.17 Dist: 02139.00 Q: 47 
   theta: 177.39 Dist: 02140.00 Q: 47 
   theta: 182.61 Dist: 02143.00 Q: 47 
   theta: 187.83 Dist: 02080.00 Q: 47 
   theta: 193.03 Dist: 02051.00 Q: 47 
   theta: 198.25 Dist: 02028.00 Q: 47 
   theta: 203.47 Dist: 02160.00 Q: 47 
   theta: 208.69 Dist: 02176.00 Q: 47 
   theta: 212.89 Dist: 00000.00 Q: 0 
   theta: 213.91 Dist: 02180.00 Q: 47 
   theta: 216.77 Dist: 00000.00 Q: 0 
   theta: 219.12 Dist: 02188.00 Q: 47 
   theta: 220.64 Dist: 00000.00 Q: 0 
   theta: 267.44 Dist: 00338.00 Q: 47 
   theta: 277.39 Dist: 00330.00 Q: 47 
   theta: 287.36 Dist: 00325.00 Q: 47 
   theta: 297.20 Dist: 00322.00 Q: 47 
   theta: 307.03 Dist: 00318.00 Q: 47 
   theta: 309.67 Dist: 00000.00 Q: 0 
   theta: 313.55 Dist: 00000.00 Q: 0 
   theta: 317.38 Dist: 00313.00 Q: 47 
   theta: 317.41 Dist: 00000.00 Q: 0 
   theta: 321.28 Dist: 00000.00 Q: 0 
   theta: 327.20 Dist: 00310.00 Q: 47 
   theta: 336.92 Dist: 00308.00 Q: 47 
   theta: 346.52 Dist: 00306.00 Q: 47 
   theta: 6.19 Dist: 00299.00 Q: 47 
   theta: 15.89 Dist: 00297.00 Q: 47 
   theta: 26.11 Dist: 00294.00 Q: 47 
   theta: 35.70 Dist: 00293.00 Q: 47 
   theta: 46.41 Dist: 00290.00 Q: 47 
   theta: 56.38 Dist: 00287.00 Q: 47 
   theta: 65.83 Dist: 00286.00 Q: 47 
   theta: 75.55 Dist: 00284.00 Q: 47 
   theta: 85.78 Dist: 00282.00 Q: 47 
   theta: 94.97 Dist: 00281.00 Q: 47 
   theta: 105.69 Dist: 00279.00 Q: 47 
   theta: 107.03 Dist: 00000.00 Q: 0 
   theta: 114.89 Dist: 00278.00 Q: 47 
   theta: 125.11 Dist: 00276.00 Q: 47 
   theta: 135.33 Dist: 00277.00 Q: 47 
   theta: 144.16 Dist: 00276.00 Q: 47 
   theta: 147.67 Dist: 00000.00 Q: 0 
   theta: 153.48 Dist: 00000.00 Q: 0 
   theta: 154.12 Dist: 00274.00 Q: 47 
   theta: 164.08 Dist: 00273.00 Q: 47 
   theta: 170.91 Dist: 00000.00 Q: 0 
   theta: 174.80 Dist: 00272.00 Q: 47 
   theta: 176.72 Dist: 00000.00 Q: 0 
   theta: 181.97 Dist: 00956.00 Q: 47 
   theta: 184.06 Dist: 00964.00 Q: 47 
   theta: 186.27 Dist: 00904.00 Q: 47 
   theta: 188.36 Dist: 00950.00 Q: 47 
   theta: 190.45 Dist: 00939.00 Q: 47 
   theta: 192.53 Dist: 00964.00 Q: 47 
   theta: 199.30 Dist: 00715.00 Q: 47 
   theta: 201.52 Dist: 00683.00 Q: 47 
   theta: 208.03 Dist: 00602.00 Q: 47 
   theta: 210.25 Dist: 00593.00 Q: 47 
   theta: 212.34 Dist: 00569.00 Q: 47 
   theta: 214.42 Dist: 00559.00 Q: 47 
   theta: 216.77 Dist: 00529.00 Q: 47 
   theta: 217.36 Dist: 00000.00 Q: 0 
   theta: 218.97 Dist: 00511.00 Q: 47 
   theta: 223.16 Dist: 00000.00 Q: 0 
   theta: 228.97 Dist: 00000.00 Q: 0 
   theta: 233.22 Dist: 00573.00 Q: 47 
   theta: 234.78 Dist: 00000.00 Q: 0 
   theta: 236.89 Dist: 00693.00 Q: 47 
   theta: 239.11 Dist: 00681.00 Q: 47 
   theta: 240.58 Dist: 00000.00 Q: 0 
   theta: 241.08 Dist: 00669.00 Q: 47 
   theta: 246.39 Dist: 00000.00 Q: 0 
   theta: 250.09 Dist: 00284.00 Q: 47 
   theta: 258.00 Dist: 00000.00 Q: 0 
   theta: 260.47 Dist: 00283.00 Q: 47 
   theta: 269.73 Dist: 00281.00 Q: 47 
   theta: 279.62 Dist: 00280.00 Q: 47 
   theta: 281.23 Dist: 00000.00 Q: 0 
   theta: 287.03 Dist: 00000.00 Q: 0 
   theta: 289.77 Dist: 00278.00 Q: 47 
   theta: 298.53 Dist: 00277.00 Q: 47 
   theta: 308.17 Dist: 00276.00 Q: 47 
   theta: 317.94 Dist: 00276.00 Q: 47 
   theta: 327.95 Dist: 00274.00 Q: 47 
   theta: 337.47 Dist: 00273.00 Q: 47 
   theta: 347.61 Dist: 00272.00 Q: 47 
S  theta: 356.72 Dist: 00301.00 Q: 47 
   theta: 7.03 Dist: 00271.00 Q: 47 
   theta: 16.03 Dist: 00270.00 Q: 47 
   theta: 25.31 Dist: 00270.00 Q: 47 
   theta: 35.44 Dist: 00270.00 Q: 47 
   theta: 44.95 Dist: 00271.00 Q: 47 
   theta: 55.45 Dist: 00272.00 Q: 47 
   theta: 68.75 Dist: 00000.00 Q: 0 
   theta: 79.03 Dist: 00000.00 Q: 0 
   theta: 89.31 Dist: 00000.00 Q: 0 
   theta: 99.59 Dist: 00000.00 Q: 0 
   theta: 109.89 Dist: 00000.00 Q: 0 
   theta: 112.05 Dist: 00316.00 Q: 47 
   theta: 121.69 Dist: 00318.00 Q: 47 
   theta: 140.75 Dist: 00000.00 Q: 0 
   theta: 151.03 Dist: 00000.00 Q: 0 
   theta: 161.31 Dist: 00000.00 Q: 0 
